"id","name","address","city","latitude","longitude"
269,"BANK OF TOKYO-MITSUBISHI UFJ","1251 AVE OF AMERICAS # C3-06","NEW YORK",40.75865,-73.981338
270,"SG AMERICAS SECURITIES LLC","1221 AVENUE OF THE AMERICAS","NEW YORK",40.7593699,-73.98209
271,"SHINKIN CENTRAL BANK","114 W 47TH ST # C-1","NEW YORK",40.758218,-73.982417
272,"WELLS FARGO BANK","1156 AVENUE OF THE AMERICAS","NEW YORK",40.756663,-73.982706
273,"KBC BANK","1177 AVENUE OF THE AMERICAS #7","NEW YORK",40.75728,-73.98289
274,"BANK HAPOALIM","1177 AVE OF THE AMERICAS # 11","NEW YORK",40.75728,-73.98289
275,"VALLEY NATIONAL BANK","62 W 47TH ST # A","NEW YORK",40.75755,-73.98129
276,"MICHAEL BASCH CO","71 W 47TH ST","NEW YORK",40.757799,-73.981095
277,"CAPITAL ONE BANK","1166 AVE OF THE AMERICAS # 51","NEW YORK",40.75676,-73.98177
278,"ALLIED IRISH BANK PLC","1166 AVE OF THE AMERICAS # 18","NEW YORK",40.75676,-73.98177
279,"CAPITAL ONE BANK","840 9TH AVE","NEW YORK",40.76622,-73.98639
280,"HSBC BANK","885 8TH AVE","NEW YORK",40.764049,-73.984901
281,"SOVEREIGN BANK","864 8TH AVE","NEW YORK",40.763364,-73.985235
282,"CHASE","839 9TH AVE","NEW YORK",40.7666309,-73.986737
283,"HSBC BANK","1790 BROADWAY","NEW YORK",40.7668989,-73.981677
284,"FIRST REPUBLIC BANK","10 COLUMBUS CIR # 102A","NEW YORK",40.767758,-73.982359
285,"CITIBANK","4 COLUMBUS CIR # A","NEW YORK",40.767923,-73.981418
286,"WELLS FARGO BANK","1755 BROADWAY","NEW YORK",40.765659,-73.98201
287,"CITIBANK","1748 BROADWAY","NEW YORK",40.765352,-73.981926
288,"SAVOY BANK","250 W 57TH ST # 1801","NEW YORK",40.7664549,-73.982397
289,"BANK OF AMERICA","1775 BROADWAY","NEW YORK",40.766507,-73.981885
290,"CHASE","1775 BROADWAY # 2","NEW YORK",40.766507,-73.981885
291,"TD BANK","224 W 57TH ST # 1","NEW YORK",40.766112,-73.981585
292,"CAPITAL ONE BANK","1745 BROADWAY","NEW YORK",40.7652949,-73.982093
293,"AMALGAMATED BANK","1745 BROADWAY","NEW YORK",40.7652949,-73.982093
294,"CHASE","1370 AVENUE OF THE AMERICAS #2","NEW YORK",40.7633379,-73.977817
295,"CITIBANK","1345 AVENUE OF THE AMERICAS #A","NEW YORK",40.762647,-73.978504
296,"TD BANK","1350 AVENUE OF THE AMERICAS #1","NEW YORK",40.76256,-73.977781
297,"MACQUARIE BANK","125 W 55TH ST # 8","NEW YORK",40.763507,-73.979116
298,"CENTRAL PARK CREDIT BANK","156 W 56TH ST # 1003","NEW YORK",40.76436,-73.97951
299,"KBC BANK","125 W 55TH ST","NEW YORK",40.763507,-73.979116
