"id","name","address","city","longitude","latitude"
352,"SHIMONOV, ROMAN","74 W 47TH ST","NEW YORK",-73.9809735053,40.7576112
353,"G.M. JEWELRY, INC.","3112 23RD AVE",,-73.9128994557,40.7743112
354,"368 PAWNBROKER INC.","368 E 149TH ST","BRONX",-73.9189044706,40.8163339
355,"CITYWIDE PAWN INC.","1316 41ST ST","BROOKLYN",-73.9870959087,40.6392174
356,"VARIETY PAWN, INC.","1825 CONEY ISLAND AVE","BROOKLYN",-73.9628568136,40.6129194
357,"LION DIAMONDS GROUP INC.","580 5TH AVE","NEW YORK",-73.9786152331,40.7566999
358,"EDDI GOLD BUYER LTD","2351 2ND AVE","NEW YORK",-73.9356948008,40.7999004
359,"BLCE, LLC","50 W 47TH ST","NEW YORK",-73.9802147376,40.7572901
360,"BORIS & SON FORTUNE CORP.","2250 WHITE PLAINS RD","BRONX",-73.8675092565,40.8587471
361,"GOLDEN DREAMS JEWELRY, LLC","183 W 231ST ST","BRONX",-73.9040196045,40.878689
362,"GURNEY OF QUEENS, INC.","5744 MYRTLE AVE",,-73.9024574147,40.7004294
363,"EXPANDING, INC.","575 LEXINGTON AVE","NEW YORK",-73.9718299716,40.7571167
364,"K&M WHOLESALE CORP.","2993 FULTON ST","BROOKLYN",-73.8842934888,40.6801193
365,"A & A JEWELERY, INC.","2142 WHITE PLAINS RD","BRONX",-73.8676249685,40.8546348
366,"SUTTONS OF LONDON, INC.","875 3RD AVE","NEW YORK",-73.9693446094,40.7576542
367,"BOSS MAN JEWELRY SHOP CORP.","2018 CHURCH AVE","BROOKLYN",-73.9607875206,40.6500539
368,"PREMIER NY OPERATING CO, LLC","937 BROADWAY","BROOKLYN",-73.9355732868,40.6972409
369,"GOLD HOUSE BUYERS REFINERY, INC.","29 W 47TH ST","NEW YORK",-73.9794941558,40.7571108
370,"MISS VIOLET HOLDING CORP.","64 W 48TH ST","NEW YORK",-73.9804386403,40.7582024
371,"DIAMOND JEWELRY III INC.","42 W FORDHAM RD","BRONX",-73.9030755105,40.8626566
372,"KPM GOLD & GEM LLC","10509 CROSSBAY BLVD","OZONE PARK",-142.798703718,-90
373,"KPM GOLD & GEM LLC","5803 METROPOLITAN AVE",,-73.9060530751,40.712957
374,"KPM GOLD & GEM LLC","4619 GREENPOINT AVE",,-73.9188393072,40.7421455
375,"GOLD PLUS REFINING CORP.","71 W 47TH ST","NEW YORK",-73.9807948954,40.7576612
376,"S.J.J. 2 INC.","386 E FORDHAM RD","BRONX",-73.8917747459,40.8618166
377,"PAWNIT 169 LTD.","639 E 169TH ST","BRONX",-73.9011293871,40.8314679
378,"PREMIER NY OPERATING CO, LLC","10602 NORTHERN BLVD",,-73.8627762439,40.7577052
379,"KING GOLD & PAWN 11, INC","1236 BROADWAY","BROOKLYN",-73.9258636995,40.6915974
380,"IS IN PAWN CORP.","1623 AVENUE U","BROOKLYN",-73.9552531488,40.5990154
381,"IS IN PAWN CORP.","4905 AVENUE N","BROOKLYN",-73.927820742,40.6189474
382,"IS IN PAWN CORP.","2486 CONEY ISLAND AVE","BROOKLYN",-73.9611078963,40.5962714
383,"IS IN PAWN CORP.","21617 MERRICK BLVD",,-73.7522109613,40.6800784
384,"KPM GOLD & GEM LLC","3443 BAYCHESTER AVE","BRONX",-73.8382747698,40.8802932
385,"KPM GOLD & GEM LLC","400 E GUN HILL RD","BRONX",-73.8715962271,40.8785891
386,"DIA BUYER CORP.","30 W 47TH ST","NEW YORK",-73.9795824368,40.7570225
387,"KPM GOLD & GEM LLC","338 E GUN HILL RD","BRONX",-73.8731511702,40.8787611
388,"THE PAISA JEWELRY CSP CORP","8416 ASTORIA BLVD",,-73.8851150555,40.7646181
